osm_id,name,building,building:levels,height,addr:housenumber,addr:street,addr:postcode,amenity,shop,tourism,historic,start_date,wikidata
"way/970597673","","yes","","","","","","","","","","",""
"way/970597674","","yes","","","","","","","","","","",""
"way/970597675","","yes","","","","","","","","","","",""
"way/970597676","","yes","","","","","","","","","","",""
"way/970597677","","yes","","","","","","","","","","",""
"way/970597678","","yes","","","","","","","","","","",""
"way/970597679","","yes","","","","","","","","","","",""
"way/970597680","","garages","","","","","","","","","","",""
"way/970597681","","house","","","","","","","","","","",""
"way/970599394","","house","","","501","Rio Grande Avenue","","","","","","",""
"way/970599395","","yes","","","","","","","","","","",""
"way/970599396","","yes","","","","","","","","","","",""
"way/970599397","","yes","","","","","","","","","","",""
"way/970599398","","yes","","","","","","","","","","",""
"way/970599399","","yes","","","","","","","","","","",""
"way/970599401","","yes","","","","","","","","","","",""
"way/970599402","","yes","","","","","","","","","","",""
"way/970599403","","yes","","","","","","","","","","",""
"way/970599406","","yes","","","","","","","","","","",""
"way/970599407","","yes","","","","","","","","","","",""
"way/970599412","","yes","","","","","","","","","","",""
"way/970599413","","yes","","","","","","","","","","",""
"way/970599414","","yes","","","","","","","","","","",""
"way/970599415","","yes","","","","","","","","","","",""
"way/970599416","","yes","","","","","","","","","","",""
"way/970599417","","yes","","","","","","","","","","",""
"way/970599418","","yes","","","","","","","","","","",""
"way/970599419","","yes","","","","","","","","","","",""
"way/970599420","","yes","","","","","","","","","","",""
"way/970599421","","yes","","","","","","","","","","",""
"way/970599422","","yes","","","","","","","","","","",""
"way/970599423","","yes","","","","","","","","","","",""
"way/970599424","","yes","","","","","","","","","","",""
"way/970599425","","yes","","","","","","","","","","",""
"way/970599426","","yes","","","","","","","","","","",""
"way/970599427","","yes","","","","","","","","","","",""
"way/970599428","","yes","","","","","","","","","","",""
"way/970599429","","yes","","","","","","","","","","",""
"way/970599430","","yes","","","","","","","","","","",""
"way/970599431","","yes","","","","","","","","","","",""
"way/970599432","","yes","","","","","","","","","","",""
"way/970599433","","yes","","","","","","","","","","",""
"way/970599434","","yes","","","","","","","","","","",""
"way/970599435","","yes","","","","","","","","","","",""
"way/970599436","","yes","","","","","","","","","","",""
"way/970599437","","yes","","","","","","","","","","",""
"way/970599438","","yes","","","","","","","","","","",""
"way/970599439","","yes","","","","","","","","","","",""
"way/970599440","","yes","","","","","","","","","","",""
"way/970599441","","yes","","","","","","","","","","",""
"way/970599442","","yes","","","","","","","","","","",""
"way/970599443","","yes","","","","","","","","","","",""
"way/970599444","","yes","","","","","","","","","","",""
"way/970599445","","yes","","","","","","","","","","",""
"way/970599446","","yes","","","","","","","","","","",""
"way/970599447","","yes","","","","","","","","","","",""
"way/970599448","","yes","","","","","","","","","","",""
"way/970599449","","yes","","","","","","","","","","",""
"way/970599821","","yes","","","","","","","","","","",""
"way/970599824","","yes","","","","","","","","","","",""
"way/970599829","","yes","","","","","","","","","","",""
"way/970599831","","yes","","","","","","","","","","",""
"way/970599832","","yes","","","","","","","","","","",""
"way/970599833","","yes","","","","","","","","","","",""
"way/970599834","","yes","","","","","","","","","","",""
"way/970599835","","yes","","","","","","","","","","",""
"way/970599836","","yes","","","","","","","","","","",""
"way/970599837","","yes","","","","","","","","","","",""
"way/970599838","","yes","","","","","","","","","","",""
"way/970599839","","yes","","","","","","","","","","",""
"way/970599840","","yes","","","","","","","","","","",""
"way/970599841","","yes","","","","","","","","","","",""
"way/970599842","","yes","","","","","","","","","","",""
"way/970599843","","yes","","","","","","","","","","",""
"way/970599844","","yes","","","","","","","","","","",""
"way/970599845","","yes","","","","","","","","","","",""
"way/970599846","","yes","","","","","","","","","","",""
"way/970599847","","yes","","","","","","","","","","",""
"way/970599848","","yes","","","","","","","","","","",""
"way/970599849","","yes","","","","","","","","","","",""
"way/970599850","","yes","","","","","","","","","","",""
"way/970599851","","yes","","","","","","","","","","",""
"way/970599852","","yes","","","","","","","","","","",""
"way/970599853","","yes","","","","","","","","","","",""
"way/970599854","","yes","","","","","","","","","","",""
"way/970599855","","house","","","","","","","","","","",""
"way/970599856","","yes","","","","","","","","","","",""
"way/970599857","","yes","","","","","","","","","","",""
"way/970599858","","yes","","","","","","","","","","",""
"way/970599859","","yes","","","","","","","","","","",""
"way/970599860","","yes","","","","","","","","","","",""
