osm_id,name,building,building:levels,height,addr:housenumber,addr:street,addr:postcode,amenity,shop,tourism,historic,start_date,wikidata
"node/5712062820","Big Adventure Comics","no","","","328","South Guadalupe Street","87501","","books","","","",""
"way/207798515","Warehouse 21 (closed)","civic","2","","1614","Paseo de Peralta","87501","","","","","",""
"way/207798516","","yes","2","","1607","Paseo de Peralta","87501","","","","","",""
"way/207798517","Gross Kelly Warehouse","commercial","2","","530","South Guadalupe Street","87501","","","","","",""
"way/207798518","","commercial","","","","South Guadalupe Street","","","","","","",""
"way/207798519","Art Yard","commercial","3","7","703","Camino de la Familia","87505","","","","","",""
"way/207798523","","commercial","","","","","","","","","","",""
"way/207798524","SITE Santa Fe","yes","","","1606","Paseo de Peralta","87501","","","museum","","",""
"way/207798525","","yes","","","","","","","","","","",""
"way/227400794","Guadalupe Inn","yes","","","604","Agua Fria Street","","","","hotel","","",""
"way/232052307","Edward J. Lopez State Land Office Building","public","2","","310","Old Santa Fe Trail","87501","","","","","","Q132187093"
"way/243866549","The Cathedral Basilica of Saint Francis of Assisi","cathedral","3","","231","Cathedral Place","87501","place_of_worship","","","","1887","Q3663700"
"way/243925978","Marian Hall","yes","3","","224","East Palace Avenue","87501","","","","","1910",""
"way/243925979","Drury Plaza Hotel in Santa Fe","yes","4","15","828","Paseo de Peralta","87501","","","hotel","","1953",""
"way/243925980","","yes","","","","","","","","","","",""
"way/243925981","","church","2","","","","","","","","","",""
"way/243925982","","church","","","","","","","","","","",""
"way/243925984","","church","","","","","","","","","","",""
"way/243984197","","yes","2","","","","","","","","building","1949",""
"way/243984198","","church","1","","","","","","","","","",""
"way/243984199","","church","1","","","","","","","","","",""
"way/244175262","Loretto Chapel","chapel","2","26","207","Old Santa Fe Trail","87501","","","museum","","1878","Q2956557"
"way/246153000","Joseph M. Montoya Federal Building","yes","2","","120","South Federal Place","87501","","","","","","Q113626372"
"way/255121005","De Vargas Center","commercial","","","","","","","mall","","","",""
"way/255121006","","commercial","","","","","","","","","","",""
"way/290191330","WorldMark Santa Fe","yes","","","138","Park Avenue","87501","","","hotel","","",""
"way/310833338","Palace of the Governors","yes","","5","105","West Palace Avenue","87501","","","museum","castle","1610","Q2442235"
"way/313520078","Casita de los Cornell","apartments","3","","211","West Water Street","87501","","","","","",""
"way/313520079","","yes","","","","","","","","","","",""
"way/313520080","","yes","","","204","West San Francisco Street","","","","","","",""
"way/313520081","","yes","","","","","","","","","","",""
"way/313520082","Cornell Building","yes","2","","","","","","","","building","",""
"way/313520083","","yes","","","","","","","","","","",""
"way/313520084","Roberts & Salmon Building","yes","","","","","","","","","","",""
"way/313520085","","yes","","","","","","","","","","",""
"way/313520086","Sandoval Garage","yes","3","","216","West San Francisco Street","","parking","","","","",""
"way/313523421","Laughlin Building","yes","2","","102","West San Francisco Street","","","","","building","",""
"way/313523423","","yes","2","","","","","","","","","",""
"way/313523424","","yes","2","","110","West San Francisco Street","87501","","","","","",""
"way/313524956","","yes","","","","","","","","","","",""
"way/313524957","","yes","1","","","","","","","","","",""
"way/313524958","","yes","3","","","","","","","","","",""
"way/313524959","","yes","","","","","","","","","","",""
"way/317447968","Piñon Court by La Fonda","yes","2","","201","Montezuma St","87501","","","hotel","","",""
"way/317447969","Del Charro Saloon","yes","","","101","West Alameda Street","","restaurant","","","","",""
"way/317447972","","commercial","","","","","","","","","","",""
"way/317469703","","garage","","","","","","","","","","",""
"way/317469704","Maintenance","yes","","","","","","","","","","",""
"way/318069353","Santa Fe Depot","train_station","","","430","South Guadalupe Street","","","","","","",""
"way/318069354","","yes","","","","","","","","","","",""
"way/319634352","","church","2","","","","","","","","","",""
"way/319634353","","church","","","","","","place_of_worship","","","","",""
"way/340433436","Santa Fe County John Gaw Meem Historic Building","yes","2","","102","Grant Avenue","87501","","","","building","1939","Q106827441"
"way/362347534","","residential","","","1625","Paseo de Peralta","87501","","","","","","Q136126265"
"way/384688621","","church","2","","","","","","","","","1939",""
"way/435964657","Whoo's Donuts","yes","","","851","Cerrillos Road","87505","fast_food","","","","",""
"way/448342072","","yes","","","","","","","","","","",""
"way/457821412","","yes","","","","","","","","","","",""
"way/457821413","","yes","2","","","","","","","","","",""
"way/457821414","","yes","","","","","","","","","","",""
"way/457821415","","yes","","","","","","","","","","",""
"way/457821416","Jerry Apodaca Building","yes","3","","424","Galisteo Street","87501","","","","","",""
"way/457821417","","yes","","","","","","","","","","",""
"way/457821418","","yes","","","","","","","","","","",""
"way/457821419","Hotel St. Francis","hotel","3","","210","Don Gaspar Avenue","87501","","","","","1924","Q111393490"
"way/457821421","","yes","2","","","West Palace Avenue","87501","","","","","",""
"way/457821422","","yes","2","","","West Palace Avenue","87501","","","","","",""
"way/457821424","","yes","","","135","Grant Avenue","","","","","building","",""
"way/457821425","","office","2","","200","West Marcy Street","87501","","","","","",""
"way/457821426","Santa Fe City Hall","yes","2","","200","Lincoln Avenue","87501","townhall","","","","1939","Q123397504"
"way/457821427","","yes","","","","","","","","","","",""
"way/457821428","","yes","","","","","","","","","","",""
"way/457821429","Century Bank","yes","","","100","South Federal Place","","bank","","","","",""
"way/457821431","Cortez Building","yes","","","","West Marcy Street","87501","","","","","",""
"way/457821432","101 West Marcy","commercial","2","","101","West Marcy Street","","","","","","",""
"way/457821433","WaFd Bank","yes","","","208","Washington Avenue","","bank","","","","",""
"way/457821434","","hotel","","","105","East Marcy Street","87501","","","","","",""
"way/457821435","","parking","3","","111","East Marcy Street","","parking","","","","",""
"way/457821436","Marcy Plaza","office","2","","123","East Marcy Street","87501","","","","","",""
"way/457821437","Marcy Plaza","office","2","","119","East Marcy Street","87501","","","","","",""
"way/457821438","Radio Plaza","office","","","210-222","East Marcy Street","87501","","","","","",""
"way/457821439","New Mexico Administrative Office of the Courts","yes","2","","202","East Marcy Street","87501","","","","","",""
"way/457821442","Santa Fe Public Library","yes","2","","145","Washington Avenue","87501","library","","","","1939",""
"way/457821444","New Mexico History Museum","yes","4","","113","Lincoln Avenue","87501","","","museum","","","Q43079348"
"way/461631827","Inn of the Governors","hotel","3","","101","West Alameda Street","87501","","","","","","Q111393491"
"way/461631828","Santa Fe Village","commercial","2","","227","Don Gaspar Avenue","87501","","mall","","","",""
"way/461631829","KESHi the Zuni Connection","yes","1","","227","Don Gaspar Avenue","87501","","art","","","",""
"way/461631830","","commercial","3","","50","East San Francisco Street","","","","","","",""
"way/461631831","","yes","2","","","","","","","","","",""
"way/461631832","","yes","2","","","","","","","","","",""
"way/461631833","","yes","","","","","","","","","","",""
"way/461631834","Five and Dime","yes","2","","58","East San Francisco Street","87501","","","","","","Q113636444"
"way/461631835","Santa Fe Arcade","yes","3","","60","East San Francisco Street","87501","","mall","","","",""
"way/461696624","Paseo de Luz Shops","retail","2","","66","East San Francisco Street","87501","","","","","",""
"way/461696625","First National 1870","yes","2","","62","Lincoln Avenue","","bank","","","","",""
"way/461696626","Batts Building","yes","2","","54-58","Lincoln Avenue","87501","","","","building","",""
"way/461696627","","yes","2","","","","","","","","","",""
"way/461696628","","yes","","","","","","","","","","",""
"way/461696630","","yes","2","","123","West San Francisco Street","87501","","","","","",""
"way/461696631","","yes","1","","121","West San Francisco Street","","","","","","",""
"way/461696632","Felipe B. Delgado House","yes","2","","124","West Palace Avenue","87501","","","","building","1890",""
"way/461696634","","yes","2","","","West San Francisco Street","87501","","","","","",""
"way/461696638","The Lensic","yes","3","","211","West San Francisco Street","87501","theatre","","","","","Q6523247"
"way/461696639","","yes","3","","","","","","","","","",""
"way/461696640","","yes","","","","","","","","","","",""
"way/461696641","Lensic Commercial Building","commercial","2","","215","West San Francisco Street","","","","","","",""
"way/461696643","Eldorado Hotel and Spa","yes","5","","309","West San Francisco Street","87501","","","hotel","","",""
"way/461696644","","yes","","","","","","","","","","",""
"way/461696645","","yes","","","","","","","","","","",""
"way/461696647","","yes","","","","","","","","","","",""
"way/461696648","","yes","","","","","","","","","","",""
"way/461696649","","yes","","","","","","","","","","",""
"way/461696652","","yes","","","","","","","","","","",""
"way/461696653","El Patio Building","yes","","","117","North Guadalupe Street","87501","","","","building","",""
"way/461696655","","yes","","","","","","","","","","",""
"way/461696656","","yes","","","","","","","","","","",""
"way/461696659","","yes","","","","","","","","","","",""
"way/461696661","","yes","","","","","","","","","","",""
"way/461696663","","yes","","","","","","","","","","",""
"way/461696664","","yes","","","","","","","","","","",""
"way/461696665","","yes","","","122","Grant Avenue","","","","","","",""
"way/461696666","Georgia O'Keeffe Museum","yes","","","217","Johnson Street","87501","","","museum","","","Q1509304"
"way/461696667","","yes","","","","","","","","","","",""
"way/461696668","","yes","","","","","","","","","","",""
"way/461696669","","yes","","","","","","","","","","",""
"way/461696670","","yes","","","","","","","","","","",""
"way/461696673","","yes","","","","","","","","","","",""
"way/461696674","","yes","","","","","","","","","","",""
"way/461696675","","yes","","","","","","","","","","",""
"way/461696676","","yes","","","","","","","","","","",""
"way/461696677","","yes","","","","","","","","","","",""
"way/461696678","","yes","","","","","","","","","","",""
"way/461696679","","yes","","","","","","","","","","",""
"way/461696680","","yes","","","","","","","","","","",""
"way/461696681","","yes","","","","","","","","","","",""
"way/461696682","","yes","","","","","","","","","","",""
"way/461696683","","yes","","","","","","","","","","",""
"way/461697977","The Lincoln","yes","5","","","","","","","","","",""
"way/461697978","","yes","3","","","","","","","","","",""
"way/461697979","Lincoln Place","commercial","2","","130","Lincoln Avenue","87501","","","","","",""
"way/461697980","","yes","","","","","","","","","","",""
"way/461697981","","yes","","","","","","","","","","",""
"way/461697982","","yes","","","","","","","","","","",""
"way/461697984","150 Washington","office","3","","150","Washington Avenue","87501","","","","","",""
"way/461697985","125 Lincoln","office","4","","125","Lincoln Avenue","87501","","","","","",""
"way/461697986","","yes","","","","","","","","","","",""
"way/461697987","Santiago E. Campos United States Courthouse","yes","2","","106","South Federal Place","87501","courthouse","","","","","Q7420261"
"way/461700315","Los Poblanos Farm Shop Norte","yes","","","201","Washington Avenue","87501","","gift","","","",""
"way/461700316","","yes","","","213","Washington Avenue","87501","","","","","",""
"way/461700317","","yes","2","","","","","","","","","",""
"way/461700318","","yes","","","","","","","","","","",""
"way/461700319","","yes","","","","","","","","","","",""
"way/461700320","Padre Gallegos House","yes","","","227-237","Washington Avenue","87501","","","","house","","Q125156701"
"way/461700322","","yes","","","220","Otero Street","","","","","","",""
"way/461700324","","yes","2","","","","","","","","","",""
"way/461700325","","yes","2","","125","East Water Street","","","","","","","Q133852449"
"way/461700326","","yes","2","","","","","","","","","",""
"way/461700327","Gans Building","yes","2","","80-84","East San Francisco Street","","","","","","",""
"way/461700328","","yes","","","","","","","","","","",""
"way/461700334","","yes","","","","","","","","","","",""
"way/461700335","","yes","","","","","","","","","","",""
"way/461700336","","yes","","","","","","","","","","",""
"way/461700337","The Silver Building","commercial","2","","53-55","Old Santa Fe Trail","","","","","","1891",""
"way/461700338","","yes","","","","","","","","","","",""
"way/461700339","","yes","","","","","","","","","","",""
"way/461700342","Rosewood Inn Of the Anasazi","hotel","3","","113","Washington Avenue","87501","","","","","","Q111393489"
"way/461700343","Hotel Chimayo","hotel","2","","125","Washington Avenue","","","","","","",""
"way/461700346","","yes","2","","","","","","","","","",""
"way/461700347","Tees & Skis","yes","","","107","Washington Avenue","","","gift","","","",""
"way/461700350","","yes","","","","","","","","","","",""
"way/461700351","","yes","","","","","","","","","","",""
"way/461700357","","yes","","","","","","","","","","",""
"way/461702762","Coronado Building","office","2","","141","East Palace Avenue","87501","","","","","",""
"way/461702763","","yes","","","","","","","","","","",""
"way/461702764","","office","2","","124","East Marcy Street","","","","","","",""
"way/461702765","","yes","","","","","","","","","","",""
"way/461702768","","yes","","","","","","","","","","",""
"way/461702769","","yes","","","","","","","","","","",""
"way/461702770","","yes","","","","","","","","","","",""
"way/461702771","","yes","","","","","","","","","","",""
"way/461702772","","yes","","","","","","","","","","",""
"way/461702773","","yes","","","","","","","","","","",""
"way/461702774","","yes","","","","","","","","","","",""
"way/461702775","High Desert","yes","","","644","Paseo de Peralta","","","massage","","","",""
"way/461702776","","yes","","","","","","","","","","",""
"way/461702777","","yes","","","","","","","","","","",""
"way/461702778","","yes","","","","","","","","","","",""
"way/461705683","","yes","","","","","","","","","","",""
"way/461705685","","yes","","","","","","","","","","",""
"way/461705687","","yes","","","","","","","","","","",""
"way/461705689","","yes","","","","","","","","","","",""
"way/461705691","","yes","","","","","","","","","","",""
"way/461705695","","yes","","","","","","","","","","",""
"way/461705700","","yes","","","","","","","","","","",""
"way/461705702","","yes","","","","","","","","","","",""
"way/461705704","","yes","","","","","","","","","","",""
"way/461705707","","yes","","","","","","","","","","",""
"way/461705709","","yes","","","","","","","","","","",""
"way/461705715","","yes","","","","","","","","","","",""
"way/461705717","","yes","","","","","","","","","","",""
"way/461705719","","yes","","","","","","","","","","",""
"way/461705721","","yes","","","","","","","","","","",""
"way/461705724","","yes","1","","","","","","","","","",""
"way/461705726","","yes","1","","","","","","","","","",""
"way/461705728","","yes","1","","","","","","","","","",""
"way/461705730","","yes","1","","","","","","","","","",""
"way/461705732","Kruger Building","yes","2","","227","East Palace Avenue","87501","","","","building","",""
"way/461705735","","yes","","","","","","","","","","",""
"way/461705737","Peyton Wright Gallery","yes","1","","237","East Palace Avenue","87501","","","gallery","","",""
"way/461705739","","yes","1","","","","","","","","","",""
"way/461705741","","yes","2","","","","","","","","","",""
"way/461705743","","yes","","","","","","","","","","",""
"way/461705746","","yes","","","","","","","","","","",""
"way/461705748","","yes","","","","","","","","","","",""
"way/461705750","","yes","1","","","","","","","","","",""
"way/461705752","","yes","","","","","","","","","","",""
"way/461705754","","yes","","","","","","","","","","",""
"way/461705756","","yes","","","","","","","","","","",""
"way/461705758","","church","","","311","East Palace Avenue","","","","","","",""
"way/461705763","","yes","","","","","","","","","","",""
"way/461705765","","yes","","","","","","","","","","",""
"way/461705767","","yes","","","","","","","","","","",""
"way/461705769","","yes","","","","","","","","","","",""
"way/461705771","","yes","","","","","","","","","","",""
"way/461705773","","yes","","","","","","","","","","",""
"way/461705775","","yes","","","","","","","","","","",""
"way/461705778","","yes","","","","","","","","","","",""
"way/461705781","","yes","","","","","","","","","","",""
"way/461705783","","yes","","","","","","","","","","",""
"way/461706563","","yes","","","","","","","","","","",""
"way/461706564","","yes","","","","","","","","","","",""
"way/461706565","","yes","","","","","","","","","","",""
"way/461706566","","yes","","","","","","","","","","",""
"way/461706567","","yes","","","","","","","","","","",""
"way/461706568","","yes","","","","","","","","","","",""
"way/461706569","","yes","","","","","","","","","","",""
"way/461706570","","yes","","","","","","","","","","",""
"way/461706571","","yes","","","","","","","","","","",""
"way/461706572","","yes","","","","","","","","","","",""
"way/461706573","","yes","","","","","","","","","","",""
"way/461706574","","yes","","","","","","","","","","",""
"way/461706575","","yes","","","","","","","","","","",""
"way/461706576","","yes","","","","","","","","","","",""
"way/461707545","Loretto","hotel","5","","211","Old Santa Fe Trail","","","","","","1975",""
"way/461707550","","yes","","","","","","","","","","",""
"way/461707552","","hotel","","","","","","","","","","",""
"way/461707554","","hotel","","","","","","","","","","",""
"way/461707555","","hotel","","","311","Old Santa Fe Trail","","","","","","",""
"way/461707558","","yes","","","","","","","","","","",""
"way/461707561","","yes","","","","","","","","","","",""
"way/461707562","","residential","2","","","","","","","","","",""
"way/461729146","","residential","","","","","","","","","","",""
"way/461729147","","yes","","","","","","","","","","",""
"way/461729148","","retail","","","924","Paseo de Peralta","","","","","","",""
"way/461729149","","yes","","","","","","","","","","",""
"way/461729150","","yes","","","","","","","","","","",""
"way/461729151","","yes","","","","","","","","","","",""
"way/461729152","","yes","","","","","","","","","","",""
"way/461729153","","yes","","","","","","","","","","",""
"way/461729154","","yes","","","","","","","","","","",""
"way/461729155","Upper Crust Pizza","yes","","","329","Old Santa Fe Trail","87501-2707","restaurant","","","","","Q135916346"
"way/461729156","De Vargas Street House","yes","","","215","East de Vargas Street","","","","museum","house","1646","Q5244785"
"way/461729157","San Miguel","church","3","","","","","place_of_worship","","","building","~1610",""
"way/461729158","Lew Wallace Building","yes","2","","413","Old Santa Fe Trail","87501","","","","","",""
"way/461729159","","yes","","","","","","","","","","",""
"way/461729160","Lamy Building","yes","2","6","413","Old Santa Fe Trail","87501","","","","","","Q50829038"
"way/461729161","","yes","","","","","","","","","","",""
"way/461729162","Shops at Rio Chama","commercial","","","","","","","","","","",""
"way/461729163","","yes","","","","","","","","","","",""
"way/461729164","","yes","","","","","","","","","","",""
"way/461729167","","yes","","","","","","","","","","",""
"way/461729168","","yes","","","","","","","","","","",""
"way/461729170","","commercial","","","","","","","","","","",""
"way/461729171","","yes","","","","","","","","","","",""
"way/461729172","","yes","","","","","","","","","","",""
"way/461729174","","yes","","","","","","","","","","",""
"way/461729175","","yes","","","","","","","","","","",""
"way/461729176","","yes","","","","","","","","","","",""
"way/461729177","","yes","","","","","","","","","","",""
"way/461729178","","yes","","","","","","","","","","",""
"way/461729179","","yes","","","","","","","","","","",""
"way/461729180","","yes","","","","","","","","","","",""
"way/461729181","","yes","","","","","","","","","","",""
"way/461729182","","yes","","","","","","","","","","",""
"way/461729183","","yes","","","","","","","","","","",""
"way/461729184","","yes","","","","","","","","","","",""
"way/461729185","","yes","","","","","","","","","","",""
"way/461729186","","yes","","","","","","","","","","",""
"way/461729187","","yes","","","","","","","","","","",""
"way/461729188","","yes","","","","","","","","","","",""
"way/461729189","","yes","","","","","","","","","","",""
"way/461729190","","yes","","","","","","","","","","",""
"way/461729193","","yes","","","132","East de Vargas Street","87501","","","","","",""
"way/461729194","","yes","","","","","","","","","","",""
"way/461729195","","yes","","","","","","","","","","",""
"way/461729196","","yes","","","","","","","","","","",""
"way/461729197","","yes","","","","","","","","","","",""
"way/461729198","","yes","","","","","","","","","","",""
"way/461729199","","yes","","","","","","","","","","",""
"way/461729200","","yes","","","","","","","","","","",""
"way/461729201","","yes","","","","","","","","","","",""
"way/461729202","","yes","","","","","","","","","","",""
"way/461729203","New Mexico Supreme Court","yes","","","237","Don Gaspar Avenue","87501","courthouse","","","","1937","Q7010303"
"way/461729207","","yes","","","","","","","","","","",""
"way/461729208","Roque Tudesque House West","yes","","","","","","","","","building","","Q132187435"
"way/461729209","Roque Tudesque House East","yes","","","","","","","","","building","","Q132187433"
"way/461732931","","yes","","","","","","","","","","",""
"way/461732932","","yes","","","","","","","","","","",""
"way/461732934","","yes","","","","","","","","","","",""
"way/461732935","","yes","","","","","","","","","","",""
"way/461732936","","yes","","","","","","","","","","",""
"way/461732937","","yes","","","","","","","","","","",""
"way/461732954","","yes","3","10","443","Galisteo Street","87501","parking","","","","",""
"way/461732959","","yes","","","204","Montezuma Avenue","","","","","","",""
"way/461732962","Clark and Ruyle","yes","","","432","Galisteo Street","","","","","","",""
"way/461732963","Administrative Office of the District Attorney","yes","","","442","Galisteo Street","","","","","","",""
"way/461732964","","yes","","","","","","","","","","",""
"way/461732965","","yes","","","","","","","","","","",""
"way/461732966","Concha Ortiz y Pino Building","yes","","","130","South Capitol Place","87504-5102","","","","","",""
"way/461733921","","yes","","","","","","","","","","",""
"way/461733922","","yes","","","","","","","","","","",""
"way/461733926","","yes","","","","","","","","","","",""
"way/461733927","CenturyLink Alameda Central Office","yes","2","","115","East Alameda Street","87501","","","","","",""
"way/461733929","","yes","","","","","","","","","","",""
"way/461733932","","yes","","","","","","","","","","",""
"way/461733933","","retail","","","228","Old Santa Fe Trail","","","","","","",""
"way/461735610","","yes","","","","","","","","","","",""
"way/461735611","Santa Fe Trails Fine Art","yes","","","200","Old Santa Fe Trail","87501","","","gallery","","",""
"way/461735612","","yes","2","","","","","","","","","",""
"way/461735613","","yes","","","","","","","","","","",""
"way/461735614","","yes","","","","","","","","","","",""
"way/461735615","121 Sandoval","yes","3","","121","Sandoval Street","87501","","","","","",""
"way/461735616","","yes","3","","","","","","","","","",""
"way/461735617","","yes","","","","","","","","","","",""
"way/461735618","","yes","","","","","","","","","","",""
"way/461735619","","yes","","","","","","","","","","",""
"way/461735620","","yes","","","","","","","","","","",""
"way/461735621","","yes","","","","","","","","","","",""
"way/461735622","","yes","","","","","","","","","","",""
"way/461735623","","yes","","","","","","","","","","",""
"way/461735627","","yes","","","","","","","","","","",""
"way/461735629","","yes","","","","","","","cannabis","","","",""
"way/461735631","The Ortiz Houses","house","","","322","West San Francisco Street","87501","","","","house","",""
"way/461735635","","retail","","","","","","","","","","",""
"way/461735636","","yes","2","","","","","","","","","",""
"way/461761714","Steve Herrera Judicial Complex","yes","3","","225","Montezuma Avenue","87501","courthouse","","","","","Q116974435"
"way/461761715","","yes","3","","","","","","","","","",""
"way/461761716","","yes","","","","","","","","apartment","","",""
"way/461761717","236 Montezuma","yes","3","","236","Montezuma Avenue","","","","","","",""
"way/461761718","","yes","","","","","","","","","","",""
"way/461761719","","yes","","","","","","","","","","",""
"way/461761720","Design Center Santa Fe","yes","2","","418","Cerrillos Road","87501","","mall","","","",""
"way/461761721","","house","2","","418","Sandoval Street","","","","","","",""
"way/461761722","","yes","","","423","Sandoval Street","","","","","","",""
"way/461761723","","yes","","","429","Sandoval Street","","","","","","",""
"way/461761724","","commercial","","","436","Cerrillos Road","","","","","","",""
"way/461761725","","yes","","","440","Cerrillos Road","","","","","","",""
"way/461763263","","yes","","","","","","","","","","",""
"way/461763264","","yes","","","","","","","","","","",""
"way/461763265","","yes","","","","","","","","","","",""
"way/461763267","","yes","","","","","","","","","","",""
"way/461763268","","yes","","","","","","","","","","",""
"way/461763269","","yes","","","","","","","","","","",""
"way/461763270","","yes","","","","","","","","","","",""
"way/461763271","","yes","","","","","","","","","","",""
"way/461763272","","yes","","","","","","","","","","",""
"way/461763273","","yes","","","","","","","","","","",""
"way/461766387","","yes","","","","","","","","","","",""
"way/461766388","","yes","","","","","","","","","","",""
"way/461766389","","yes","","","","","","","","","","",""
"way/461766390","","yes","","","","","","","","","","",""
"way/461766391","","yes","","","","","","","","","","",""
"way/461766392","","office","","","","","","","","","","",""
"way/461766393","","yes","","","","","","","","","","",""
"way/461766394","Santa Fe Jewish Center Chabad","yes","3","","230","West Manhattan Avenue","87501","place_of_worship","","","","",""
"way/461766395","","commercial","2","","1422","Paseo de Peralta","","","","","","",""
"way/461766396","","yes","","","","","","","","","","",""
"way/461766397","","yes","","","","","","","","","","",""
"way/461766398","","yes","","","","","","","","","","",""
"way/461766401","Luna B","yes","1","5","505","Cerrillos Road","87501","","","","","",""
"way/461766402","Luna A","commercial","3","15","505","Cerrillos Road","87505","","","","","",""
"way/461766403","535 Cerrillos","office","2","","535","Cerrillos Road","87501","","","","","",""
"way/461766406","Zizi Ceramics","yes","","","1424","Paseo de Peralta","","","pottery","","","",""
"way/461766407","PMS Peralta Compound","office","2","","1422","Paseo de Peralta","","","","","","",""
"way/461766409","","yes","2","","","","","","","","","",""
"way/461766410","","yes","","","","","","","","","","",""
"way/461766412","Ortiz Y Pino House","house","","","504","Galisteo Street","","","","","house","",""
"way/461766413","","yes","","","","","","","","","","",""
"way/461766414","Santa Fe Brewing Company Brake Room","yes","","","510","Galisteo Street","87501","bar","","","","",""
"way/461766418","Hotel Santa Fe, The Hacienda and Spa","hotel","3","","1501","Paseo de Peralta","","","","hotel","","",""
"way/461766423","","yes","","","","","","","","","","",""
"way/461766424","","yes","","","","","","","","","","",""
"way/461766425","","hotel","","","","","","","","","","",""
"way/461766426","","yes","","","","","","","","","","",""
"way/461766427","","yes","","","","","","","","","","",""
"way/461766431","UMB Bank","yes","","","1549","Paseo de Peralta","","bank","","","","",""
"way/461767916","Vladem Contemporary","yes","2","","404","Montezuma Avenue","87505","arts_centre","","","","","Q122873639"
"way/461767917","","shed","","","","","","","","","","",""
"way/461767918","","yes","2","","","","","","","","","",""
"way/461767919","","yes","","","","","","","","","","",""
"way/461767920","","yes","2","","","","","","","","","",""
"way/461767921","","yes","","","","West Manhattan Avenue","","","gift","","","",""
"way/461767922","","yes","","","","","","","","","","",""
"way/461767923","","yes","","","","","","","","","","",""
"way/461767924","","yes","","","","","","","","","","",""
"way/461767925","","yes","","","","","","","","","","",""
"way/461767926","Hesch House","house","","","324-326","Read Street","87501","","","","house","",""
"way/461767927","","yes","","","","","","","","","","",""
"way/461767928","","yes","","","","","","","","","","",""
"way/461767929","","yes","","","","","","","","","","",""
"way/461767930","","yes","","","","","","","","","","",""
"way/461767931","","yes","","","","","","","","","","",""
"way/461767932","","yes","","","","","","","","","","",""
"way/461767933","","yes","","","","","","","","","","",""
"way/461767934","","yes","","","","","","","","","","",""
"way/461767935","","yes","","","","","","","","","","",""
"way/461767936","","yes","","","","","","","","","","",""
"way/461767937","","yes","","","","","","","","","","",""
"way/461767938","","yes","","","","","","","","","","",""
"way/461767939","","yes","","","","","","","","","","",""
"way/461767940","","yes","","","","","","","","","","",""
"way/461767941","Dumpling Cafe","yes","","","500","Sandoval Street","87501","restaurant","","","","",""
"way/461767943","","yes","","","","","","","","","","",""
"way/461767944","Benjamin M Read House","house","","","309","Read Street","87501","","","","yes","",""
"way/461767945","","yes","","","","","","","","","","",""
"way/461767946","","yes","","","","","","","","","","",""
"way/461767947","","yes","","","","","","","","","","",""
"way/461767948","","yes","","","","","","","","","","",""
"way/461767949","","yes","","","","","","","","","","",""
"way/461767950","","yes","","","","","","","","","","",""
"way/461767951","","yes","","","","","","","","","","",""
"way/461767952","University Plaza","office","4","","330","Garfield Street","87501","","","","","",""
"way/461767953","","yes","","","","","","","","","","",""
"way/461767959","","yes","","","","","","","","","","",""
"way/461767961","","yes","","","","","","","","","","",""
"way/461767962","","yes","","","","","","","","","","",""
"way/461767963","","yes","","","","","","","","","","",""
"way/461767964","","yes","","","","","","","","","","",""
"way/461767965","","yes","","","","","","","","","","",""
"way/461767966","Big Star","yes","","","329","Garfield Street","","","books","","","",""
"way/461767967","","yes","","","","","","","","","","",""
"way/461776179","","yes","","","","","","","","","","",""
"way/461776181","","yes","","","","","","","","","","",""
"way/461776183","","yes","","","","","","","","","","",""
"way/461776184","","yes","","","","","","","","","","",""
"way/461776195","","yes","","","","","","","","","","",""
"way/461776198","Veterans of Foreign Wars Post 2951","yes","","","307","Montezuma Avenue","87501","social_centre","","","","",""
"way/461776200","","yes","","","","","","","","","","",""
"way/461776202","","yes","","","","","","","","","","",""
"way/461776204","Guadalupe Center","commercial","2","","333","Montezuma Avenue","","","","","","",""
"way/461776206","","yes","","","","","","","","","","",""
"way/461776208","","retail","2","","321","South Guadalupe Street","87501","","","","","",""
"way/461776210","","yes","","","","","","","","","","",""
"way/461776213","","yes","","","","","","","","","","",""
"way/461776215","","yes","","","","","","","","","","",""
"way/461776217","","yes","","","","","","","","","","",""
"way/461776219","","yes","","","","","","","","","","",""
"way/461776221","","yes","","","","","","","","","","",""
"way/461776222","","yes","","","","","","","","","","",""
"way/461776224","","yes","","","","","","","","","","",""
"way/461776225","Second Ward School building","yes","","","312","Sandoval Street","87501","","second_hand","","","","Q137163744"
"way/461776226","","yes","","","","","","","","","","",""
"way/461776227","","yes","","","","","","","","","","",""
"way/461776228","NM Corrections Department Probation & Parole Office","yes","","","301","West de Vargas Street","87501","","","","","",""
"way/461776229","","yes","","","","","","","","","","",""
"way/461776230","","yes","","","","","","","","","","",""
"way/461776233","","yes","","","","","","","","","","",""
"way/461776234","Whole Hog Café Santa Fe (closed)","yes","","","320","South Guadalupe Street","87501","","vacant","","","","Q123056238"
"way/461776235","","yes","","","","","","","","","","",""
"way/461776236","Stone Warehouse","yes","","","316","South Guadalupe Street","","","","","building","",""
"way/461776237","Common Ground","commercial","2","","314","South Guadalupe Street","87501","","","","","",""
"way/461776238","","yes","","","","","","","","","","",""
"way/461776239","Joseph's Culinary Pub","yes","","","428","Agua Fria Street","87501","restaurant","","","","",""
"way/461776241","","yes","","","550","Montezuma Avenue","","","","","","",""
